rank,word,freq
1,the,50033612
2,be,32394756
3,and,24778098
4,a,24225478
5,of,23159162
6,to,16770155
7,in,15670692
8,i,14217601
9,you,12079413
10,it,11042044
11,have,10514314
12,to,9232572
13,that,8319512
14,for,8194970
15,do,8186412
16,he,6467470
17,with,6442861
18,on,6080156
19,this,5541440
20,n't,5285354
21,we,5180711
22,that,5002963
23,not,4655980
24,but,4523086
25,they,4503650
26,say,4096416
27,at,4024079
28,what,3807502
29,his,3718978
30,from,3711425
31,go,3546732
32,or,3420339
33,by,3372222
34,get,3347615
35,she,3188078
36,my,3106939
37,can,3091046
38,as,2946119
39,know,2761628
40,if,2709809
41,me,2638743
42,your,2577505
43,all,2503556
44,who,2493429
45,about,2427703
46,their,2417058
47,will,2372215
48,so,2369749
49,would,2349400
50,make,2290830
51,just,2270900
52,up,2108756
53,think,2077762
54,time,2018725
55,there,1980173
56,see,1958700
57,her,1931189
58,as,1880190
59,out,1828593
60,one,1816593
61,come,1802158
62,people,1800205
63,take,1768822
64,year,1729962
65,him,1717209
66,them,1701589
67,some,1684262
68,want,1671524
69,how,1666469
70,when,1650353
71,which,1613281
72,now,1601991
73,like,1583444
74,other,1539952
75,could,1529795
76,our,1467955
77,into,1461573
78,here,1413594
79,then,1344434
80,than,1342798
81,look,1338475
82,way,1260011
83,more,1248955
84,these,1223310
85,no,1206112
86,thing,1202004
87,well,1189096
88,because,1167024
89,also,1142799
90,two,1139973
91,use,1126042
92,tell,1119692
93,good,1111721
94,first,1101803
95,man,1091176
96,day,1068902
97,find,1051936
98,give,1048189
99,more,1037966
100,new,1017175
101,one,999446
102,us,992207
103,any,981535
104,those,964458
105,very,963552
106,her,959780
107,need,945498
108,back,938649
109,there,932354
110,should,920908
111,even,920346
112,only,905093
113,many,903833
114,really,895900
115,work,854095
116,life,852257
117,why,832911
118,right,830729
119,down,820294
120,on,818739
121,try,795248
122,let,780929
123,something,779903
124,too,771375
125,call,768117
126,woman,759817
127,may,757742
128,still,757548
129,through,752325
130,mean,748840
131,after,745154
132,never,744608
133,no,743203
134,world,732511
135,in,726590
136,feel,722826
137,yeah,703928
138,great,696589
139,last,692989
140,child,685426
141,oh,685234
142,over,679617
143,ask,676596
144,when,669530
145,as,662376
146,school,660191
147,state,638012
148,much,636642
149,talk,635614
150,out,634959
151,keep,626487
152,leave,622651
153,put,616952
154,like,614691
155,help,606887
156,big,600364
157,where,597351
158,same,592441
159,all,591610
160,own,579172
161,while,579023
162,start,578246
163,three,570885
164,high,567720
165,every,567233
166,another,565094
167,become,561963
168,most,561354
169,between,558517
170,happen,552797
171,family,544520
172,over,538724
173,president,538319
174,old,537424
175,yes,537066
176,house,537037
177,show,536889
178,again,530706
179,student,530196
180,so,523232
181,seem,522940
182,might,521992
183,part,517693
184,hear,516483
185,its,511922
186,place,508803
187,problem,504175
188,where,500755
189,believe,500511
190,country,499369
191,always,492943
192,week,484834
193,point,484094
194,hand,481332
195,off,479459
196,play,478740
197,turn,477668
198,few,472804
199,group,470971
200,such,468655
201,against,467705
202,run,465066
203,guy,464082
204,about,462995
205,case,458383
206,question,457301
207,work,456169
208,night,452094
209,live,450380
210,game,445149
211,number,444412
212,write,439865
213,bring,439445
214,without,438567
215,money,437583
216,lot,437545
217,most,435849
218,book,435387
219,system,435303
220,government,434971
221,next,433864
222,city,433843
223,company,432469
224,story,432184
225,today,431562
226,job,430995
227,move,430324
228,must,427796
229,bad,426558
230,friend,423755
231,during,423624
232,begin,421878
233,love,417532
234,each,414659
235,hold,413837
236,different,413578
237,american,410698
238,little,404660
239,before,402959
240,ever,402590
241,word,402216
242,fact,399574
243,right,389906
244,read,386137
245,anything,384508
246,nothing,383744
247,sure,383701
248,small,382563
249,month,381833
250,program,375708
251,maybe,374325
252,right,373934
253,under,373903
254,business,373744
255,home,370758
256,kind,367584
257,stop,366567
258,pay,365255
259,study,364915
260,since,363805
261,issue,362137
262,name,361916
263,idea,358006
264,room,357682
265,percent,357515
266,far,357192
267,away,355515
268,law,354958
269,actually,353857
270,large,353703
271,though,352608
272,provide,351941
273,lose,351650
274,power,351483
275,kid,351451
276,war,350575
277,understand,349141
278,head,348664
279,mother,348470
280,real,348239
281,best,348202
282,team,348063
283,eye,347153
284,long,345462
285,long,345005
286,side,342841
287,water,342574
288,young,341002
289,wait,339926
290,okay,339699
291,both,338454
292,yet,338408
293,after,334050
294,meet,333954
295,service,332313
296,area,331866
297,important,331646
298,person,330987
299,hey,330236
300,thank,330129
301,much,329230
302,someone,328998
303,end,328699
304,change,327637
305,however,326015
306,only,325917
307,around,324064
308,hour,323999
309,everything,323760
310,national,321960
311,four,319834
312,line,319492
313,girl,319120
314,around,318942
315,watch,318772
316,until,318392
317,father,318173
318,sit,315022
319,create,314631
320,information,314341
321,car,313437
322,learn,312649
323,least,311569
324,already,311502
325,kill,307305
326,minute,306541
327,party,304325
328,include,304197
329,stand,303462
330,together,302942
331,back,302390
332,follow,300266
333,health,300262
334,remember,298221
335,often,295709
336,reason,295577
337,speak,295523
338,ago,294921
339,set,293144
340,black,293101
341,member,292596
342,community,290489
343,once,290446
344,social,290372
345,news,289175
346,allow,288559
347,win,288308
348,body,287817
349,lead,285740
350,continue,282352
351,whether,280973
352,enough,280789
353,spend,280371
354,level,279770
355,able,279559
356,political,279410
357,almost,279393
358,boy,279283
359,university,279132
360,before,276286
361,stay,275504
362,add,275233
363,later,274178
364,change,274132
365,five,270274
366,probably,269732
367,center,268821
368,among,267798
369,face,266458
370,public,265061
371,die,264537
372,food,262697
373,else,261804
374,history,261045
375,buy,260201
376,result,259961
377,morning,259129
378,off,258852
379,parent,258181
380,office,258157
381,course,257245
382,send,256309
383,research,255123
384,walk,253671
385,door,252623
386,white,251664
387,several,251543
388,court,250891
389,home,250331
390,grow,248803
391,better,247453
392,open,247043
393,moment,246362
394,including,245445
395,consider,244644
396,both,244397
397,such,244165
398,little,244049
399,within,243714
400,second,243485
401,late,242755
402,street,242552
403,free,242338
404,better,241827
405,everyone,241313
406,policy,240181
407,table,238887
408,sorry,237541
409,care,237259
410,low,237027
411,human,236187
412,please,236175
413,hope,235945
414,TRUE,235467
415,process,235304
416,teacher,234642
417,data,234516
418,offer,234189
419,death,233153
420,whole,233110
421,experience,232376
422,plan,231629
423,easy,231262
424,education,231036
425,build,230071
426,expect,229855
427,fall,229161
428,himself,228757
429,age,228610
430,hard,228234
431,sense,226539
432,across,226402
433,show,225884
434,early,224665
435,college,224634
436,music,222767
437,appear,221287
438,mind,220441
439,class,219160
440,police,219041
441,use,218006
442,effect,217999
443,season,217695
444,tax,217131
445,heart,216345
446,son,216216
447,art,215981
448,possible,213803
449,serve,213511
450,break,213364
451,although,212390
452,end,212174
453,market,210848
454,even,210702
455,air,210307
456,force,210010
457,require,209616
458,foot,209334
459,up,209243
460,listen,208819
461,agree,208506
462,according,208405
463,anyone,207907
464,baby,207577
465,wrong,206856
466,love,206700
467,cut,205886
468,decide,205447
469,republican,204793
470,full,204252
471,behind,203530
472,pass,203033
473,interest,202642
474,sometimes,201833
475,security,201542
476,eat,201315
477,report,201020
478,control,200879
479,rate,200828
480,local,200668
481,suggest,200560
482,report,200188
483,nation,200021
484,sell,198982
485,action,198530
486,support,198185
487,wife,197306
488,decision,196426
489,receive,196239
490,value,195639
491,base,195474
492,pick,195443
493,phone,194941
494,thanks,194839
495,event,194748
496,drive,194360
497,strong,193876
498,reach,193684
499,remain,193577
500,explain,193276
501,site,193251
502,hit,192969
503,pull,192457
504,church,191872
505,model,191448
506,perhaps,191398
507,relationship,191344
508,six,191200
509,fine,190779
510,movie,190773
511,field,190489
512,raise,190353
513,less,190003
514,player,189280
515,couple,189272
516,million,188521
517,themselves,188414
518,record,187057
519,especially,186130
520,difference,185310
521,light,185287
522,development,185238
523,federal,185144
524,former,185057
525,role,184483
526,pretty,183711
527,myself,183232
528,view,182417
529,price,181918
530,effort,181751
531,nice,181568
532,quite,181432
533,along,181372
534,voice,181328
535,finally,181233
536,department,181181
537,either,181133
538,toward,180784
539,leader,180573
540,because,178859
541,photo,177976
542,wear,177786
543,space,177126
544,project,177076
545,return,176787
546,position,176578
547,special,176515
548,million,175586
549,film,175442
550,need,175440
551,major,175432
552,type,173975
553,town,173905
554,article,173819
555,road,173413
556,form,173161
557,chance,172820
558,drug,172756
559,economic,172153
560,situation,171026
561,choose,170716
562,practice,170654
563,cause,170629
564,happy,170573
565,science,170488
566,join,170302
567,teach,169673
568,early,169653
569,develop,168894
570,share,168892
571,yourself,168841
572,carry,168820
573,clear,168587
574,brother,167417
575,matter,167351
576,dead,167302
577,image,167053
578,star,167036
579,cost,166775
580,simply,166556
581,post,166265
582,society,165769
583,picture,165703
584,piece,165538
585,paper,165070
586,energy,164622
587,personal,164270
588,building,164119
589,military,163555
590,open,163231
591,doctor,163129
592,activity,162943
593,exactly,162663
594,american,162614
595,media,162177
596,miss,162066
597,evidence,162050
598,product,161999
599,realize,161762
600,save,161469
601,arm,161185
602,technology,160819
603,catch,160594
604,comment,160451
605,look,160145
606,term,160014
607,color,160011
608,cover,159606
609,describe,159521
610,guess,159454
611,choice,159277
612,source,158588
613,mom,158511
614,soon,158194
615,director,158028
616,international,157724
617,rule,157468
618,campaign,157373
619,ground,156706
620,election,156532
621,face,156455
622,uh,156333
623,check,155591
624,page,154863
625,fight,154643
626,itself,154505
627,test,154189
628,patient,154125
629,produce,154082
630,certain,154059
631,whatever,153872
632,half,153688
633,video,153563
634,support,152769
635,throw,152388
636,third,152339
637,care,152255
638,rest,151864
639,recent,151697
640,available,151406
641,step,151394
642,ready,151349
643,opportunity,151226
644,official,150423
645,oil,150410
646,call,149896
647,organization,149261
648,character,148825
649,single,148796
650,current,148387
651,likely,148216
652,county,148165
653,future,147923
654,dad,147520
655,whose,147491
656,less,147290
657,shoot,147137
658,industry,146746
659,second,146634
660,list,146495
661,general,146275
662,stuff,145992
663,figure,145812
664,attention,145669
665,forget,145557
666,risk,145334
667,no,144919
668,focus,144896
669,short,144842
670,fire,144750
671,dog,144648
672,red,144046
673,hair,143875
674,point,143750
675,condition,143732
676,wall,143389
677,daughter,142747
678,before,142673
679,deal,142589
680,author,142352
681,truth,142017
682,upon,141420
683,husband,141289
684,period,141173
685,series,140231
686,order,140025
687,officer,139938
688,close,139704
689,land,139579
690,note,139111
691,computer,139082
692,thought,139016
693,economy,138752
694,goal,138693
695,bank,138673
696,behavior,138400
697,sound,138386
698,deal,138197
699,certainly,138162
700,nearly,138034
701,increase,137709
702,act,137668
703,north,137666
704,well,137599
705,blood,137579
706,culture,137140
707,medical,136850
708,ok,136788
709,everybody,136787
710,top,136658
711,difficult,136474
712,close,136431
713,language,136124
714,window,136043
715,response,135942
716,population,135733
